Unidade,Curso,Modalidade,Classificação na carreira,Nota na 1° fase,"Nota na 2° fase, 1° dia","Nota na 2° fase, 2° dia",Nota da redação,Qual o seu ano de ingresso?,Nota final,Envie aqui o espelho da sua redação,Chamada,Classificação no curso de ingresso,Forma de ingresso,Ciências da Natureza,Matemática,Linguagens,Ciências Humanas,Redação,Nota na Competência 1,Nota na Competência 2,Nota na Competência 3,Nota na Competência 4,Nota na Competência 5,Nota final.1,Envie aqui o espelho da sua redação.1
FEA,Administração Noturno,Ampla Concorrência (AC),147.0,65.0,61.0,50.83,43979.0,2020,613.52,,,,Fuvest,,,,,,,,,,,,
FEA,Administração Noturno,Ampla Concorrência (AC),0.0,69.0,56.0,51.67,32.0,2020,614.44,,,,Fuvest,,,,,,,,,,,,
FEA,Administração Noturno,Ampla Concorrência (AC),179.0,65.0,59.5,53.33,33.0,2019,616.85,,,,Fuvest,,,,,,,,,,,,
FEA,Administração Noturno,Ampla Concorrência (AC),178.0,65.0,63.0,50.0,33.0,2019,617.41,,,,Fuvest,,,,,,,,,,,,
FEA,Administração Noturno,Ampla Concorrência (AC),127.0,64.0,76.0,38.0,41.5,2020,618.5,,,,Fuvest,,,,,,,,,,,,
FEA,Administração Noturno,Ampla Concorrência (AC),0.0,67.0,66.5,45.0,33.5,2019,619.81,,,,Fuvest,,,,,,,,,,,,
FEA,Administração Noturno,Ampla Concorrência (AC),161.0,57.0,66.5,56.57,34.5,2019,621.67,,,,Fuvest,,,,,,,,,,,,
FEA,Administração Noturno,Ampla Concorrência (AC),119.0,60.0,69.0,50.83,41.5,2020,621.67,,,,Fuvest,,,,,,,,,,,,
FEA,Administração Noturno,Ampla Concorrência (AC),114.0,70.0,65.0,44.17,34.5,2020,623.15,,,,Fuvest,,,,,,,,,,,,
FEA,Administração Noturno,Ampla Concorrência (AC),0.0,59.0,64.5,57.5,33.0,2019,625.19,,,,Fuvest,,,,,,,,,,,,
FEA,Administração Noturno,Ampla Concorrência (AC),146.0,64.0,65.0,52.5,36.0,2019,628.7,,,,Fuvest,,,,,,,,,,,,
FEA,Administração Noturno,Ampla Concorrência (AC),94.0,68.0,64.5,50.0,34.5,2020,633.52,,,,Fuvest,,,,,,,,,,,,
FEA,Administração Noturno,Ampla Concorrência (AC),21.0,69.0,70.5,58.33,38.0,2020,685.5,,,,Fuvest,,,,,,,,,,,,
FEA,Administração Noturno,Ampla Concorrência (AC),29.0,70.0,72.0,60.0,35.0,2019,699.26,,,,Fuvest,,,,,,,,,,,,
FEA,Administração Noturno,Ampla Concorrência (AC),16.0,72.0,79.5,56.67,41.0,2019,720.56,,,,Fuvest,,,,,,,,,,,,
FAU,Arquitetura e Urbanismo,"Pretos, Pardos e Indígenas (PPI)",2.0,57.0,52.0,46.67,28.0,2020,540.0,,,,Fuvest,,,,,,,,,,,,
FAU,Arquitetura e Urbanismo,Escola Pública (EP),27.0,53.0,61.5,44.17,30.0,2020,548.5296296,,,,Fuvest,,,,,,,,,,,,
FAU,Arquitetura e Urbanismo,Escola Pública (EP),22.0,57.0,58.5,48.33,36.5,2020,567.2111111,,,,Fuvest,,,,,,,,,,,,
FAU,Arquitetura e Urbanismo,Escola Pública (EP),18.0,53.0,65.5,48.33,35.0,2020,575.7296296,,,,Fuvest,,,,,,,,,,,,
FAU,Arquitetura e Urbanismo,Escola Pública (EP),13.0,61.0,63.0,45.0,36.5,2020,585.9259258999999,,,,Fuvest,,,,,,,,,,,,
FAU,Arquitetura e Urbanismo,Escola Pública (EP),9.0,57.0,64.0,53.33,39.0,2020,602.2111111,,,,Fuvest,,,,,,,,,,,,
FAU,Arquitetura e Urbanismo,Escola Pública (EP),16.0,54.0,64.0,64.0,36.6,0,626.6666667000001,,,,Fuvest,,,,,,,,,,,,
FAU,Arquitetura e Urbanismo,Ampla Concorrência (AC),68.0,68.0,73.0,44.0,39.0,2019,641.8518518999999,,,,Fuvest,,,,,,,,,,,,
FAU,Arquitetura e Urbanismo,Ampla Concorrência (AC),63.0,52.0,86.5,51.67,45.0,0,653.1592592999999,,,,Fuvest,,,,,,,,,,,,
FAU,Arquitetura e Urbanismo,Ampla Concorrência (AC),65.0,64.0,74.5,54.17,40.0,2020,665.937037,,,,Fuvest,,,,,,,,,,,,
FAU,Arquitetura e Urbanismo,Ampla Concorrência (AC),50.0,64.0,77.0,51.67,40.0,0,665.937037,,,,Fuvest,,,,,,,,,,,,
FAU,Arquitetura e Urbanismo,Ampla Concorrência (AC),64.0,72.0,64.0,56.67,30.0,2020,668.9,,,,Fuvest,,,,,,,,,,,,
FAU,Arquitetura e Urbanismo,Ampla Concorrência (AC),62.0,67.0,64.0,62.5,36.0,2020,669.8148147999999,,,,Fuvest,,,,,,,,,,,,
FAU,Arquitetura e Urbanismo,Ampla Concorrência (AC),49.0,61.0,79.0,54.17,45.0,0,669.8259259,,,,Fuvest,,,,,,,,,,,,
FAU,Arquitetura e Urbanismo,Ampla Concorrência (AC),58.0,63.0,68.0,64.17,38.0,2020,673.9,,,,Fuvest,,,,,,,,,,,,
FAU,Arquitetura e Urbanismo,Ampla Concorrência (AC),47.0,64.0,79.5,53.33,50.0,2020,679.8037037,,,,Fuvest,,,,,,,,,,,,
FAU,Arquitetura e Urbanismo,Ampla Concorrência (AC),29.0,69.0,75.5,52.5,38.0,0,682.2222222,,,,Fuvest,,,,,,,,,,,,
FAU,Arquitetura e Urbanismo,Ampla Concorrência (AC),41.0,66.0,63.5,68.33,34.5,2020,683.8777778,,,,Fuvest,,,,,,,,,,,,
FAU,Arquitetura e Urbanismo,Ampla Concorrência (AC),40.0,58.0,77.5,63.33,41.0,0,684.2481481000001,,,,Fuvest,,,,,,,,,,,,
FAU,Arquitetura e Urbanismo,Ampla Concorrência (AC),26.0,69.0,80.0,49.0,46.5,2019,685.5555555999999,,,,Fuvest,,,,,,,,,,,,
FAU,Arquitetura e Urbanismo,Ampla Concorrência (AC),35.0,68.0,74.5,56.67,43.5,2020,689.0851852000001,,,,Fuvest,,,,,,,,,,,,
FAU,Arquitetura e Urbanismo,Ampla Concorrência (AC),27.0,76.0,69.25,54.17,33.0,0,692.8814815000001,,,,Fuvest,,,,,,,,,,,,
FAU,Arquitetura e Urbanismo,Ampla Concorrência (AC),31.0,67.0,74.5,59.17,41.5,2020,693.7148147999999,,,,Fuvest,,,,,,,,,,,,
FAU,Arquitetura e Urbanismo,Ampla Concorrência (AC),20.0,61.0,81.5,59.17,39.5,2019,694.8259259,,,,Fuvest,,,,,,,,,,,,
FAU,Arquitetura e Urbanismo,Ampla Concorrência (AC),17.0,72.0,69.0,69.33,34.5,2020,707.78,,,,Fuvest,,,,,,,,,,,,
FAU,Arquitetura e Urbanismo,Ampla Concorrência (AC),8.0,75.0,76.2,63.3,40.7,2020,742.78,,,,Fuvest,,,,,,,,,,,,
FAU,Arquitetura e Urbanismo,Ampla Concorrência (AC),0.0,90.0,62.0,63.33,36.5,2020,751.1,,,,Fuvest,,,,,,,,,,,,
FAU,Arquitetura e Urbanismo,Ampla Concorrência (AC),3.0,71.0,80.0,69.2,43.1,2020,760.19,,,,Fuvest,,,,,,,,,,,,
FAU,Arquitetura e Urbanismo,Ampla Concorrência (AC),1.0,79.0,78.5,70.8,46.5,2020,790.37,,,,Fuvest,,,,,,,,,,,,
FAU,Arquitetura e Urbanismo,"Pretos, Pardos e Indígenas (PPI)",6.0,48.0,40.1,40.1,35.0,2020,495.44,,,,Fuvest,,,,,,,,,,,,
