id,unidade,curso,periodo,total,fuvest_ac,fuvest_ep,fuvest_ppi,fuvest,enem_ac,enem_ep_l1,enem_ep_l3,enem_ep,enem_ppi_l2,enem_ppi_l4,enem_ppi,enem
157,IFSC,Ciências Físicas e Biomoleculares - Bacharelado - Ênfase Tecnológica,I,40,15,8,5,28,5,0,4,4,0,3,3,12
158,IFSC,Física Computacional - Bacharelado,I,40,15,8,5,28,5,0,4,4,0,3,3,12
159,IFSC,Ciências Exatas - Licenciatura,N,50,18,10,7,35,7,0,5,5,0,3,3,15
160,IGc,Geologia,I,50,25,10,0,35,0,0,5,5,0,10,10,15
161,IGc,Geociências e Educação Ambiental,N,40,20,8,0,28,0,0,4,4,0,8,8,12
162,IME,Ciência da Computação - Bacharelado,D,60,24,18,12,54,6,0,0,0,0,0,0,6
163,IME,Matemática - Licenciatura,D,50,25,8,2,35,0,0,7,7,0,8,8,15
164,IME,Matemática - Licenciatura,N,100,50,16,4,70,0,0,15,15,0,15,15,30
165,IME,Estatística – Bacharelado,D,40,20,6,8,34,0,0,6,6,0,0,0,6
166,IME,Matemática - Bacharelado,D,30,15,6,3,24,0,0,3,3,0,3,3,6
167,IME,Matemática Aplicada - Bacharelado,D,20,8,6,4,18,2,0,0,0,0,0,0,2
168,IME,Matemática Aplicada e Computacional,N,50,20,15,10,45,5,0,0,0,0,0,0,5
169,IO,Oceanografia – Bacharelado,I,40,16,8,4,28,4,2,2,4,2,2,4,12
170,IP,Psicologia - Bach./Lic. e Psicólogo,I,70,35,8,6,49,0,0,13,13,0,8,8,21
171,IQ,Química – Bacharelado e Licenciatura (Bach. – Ênfases: Tecnológica; Biotecnologia; Bioquímica e  Biologia Molecular),I,60,22,12,8,42,8,2,4,6,2,2,4,18
172,IQ,Química – Bacharelado e Licenciatura (Bach. – Ênfase em Química Ambiental),N,60,22,12,8,42,8,2,4,6,2,2,4,18
173,IQSC,"Química (Bacharelado e Bacharelado com
Atribuições Tecnológicas com ênfases em
Alimentos, Ambiental, Gestão de
Qualidade e Materiais)",I,60,20,13,9,42,10,3,2,5,2,1,3,18
174,IRI,Relações Internacionais – Bacharelado,D,30,14,5,2,21,1,3,1,4,3,1,4,9
175,IRI,Relações Internacionais – Bacharelado,N,30,14,5,2,21,1,3,1,4,3,1,4,9
