ano,nota,c1,c2,c3,c4,c5,drive_id,url
2019,900,160.0,200.0,160.0,200.0,180.0,1tpzaJqmRbfnPtEAl0I4JX_7g_hNfEWrq,https://drive.google.com/file/d/1tpzaJqmRbfnPtEAl0I4JX_7g_hNfEWrq/view
2019,800,160.0,160.0,140.0,180.0,160.0,1hBvICl7i939256JfvB2Clg8aEENhfaqs,https://drive.google.com/file/d/1hBvICl7i939256JfvB2Clg8aEENhfaqs/view
2019,980,180.0,200.0,200.0,200.0,200.0,1jWNDkcKZ5QOStWxeROJJxqKIaVu-qvnt,https://drive.google.com/file/d/1jWNDkcKZ5QOStWxeROJJxqKIaVu-qvnt/view
2019,940,180.0,200.0,180.0,200.0,180.0,1J-FZhwf3_UOwYuOehm8bOoB0MjlJSqNo,https://drive.google.com/file/d/1J-FZhwf3_UOwYuOehm8bOoB0MjlJSqNo/view
2019,940,160.0,200.0,180.0,200.0,200.0,1invFnWH6rj6WTFKUhQYlsEuddMQkncoh,https://drive.google.com/file/d/1invFnWH6rj6WTFKUhQYlsEuddMQkncoh/view
2019,980,180.0,200.0,200.0,200.0,200.0,1Iwob1OpjlbZVsblB0GGMazIFrru9A1sT,https://drive.google.com/file/d/1Iwob1OpjlbZVsblB0GGMazIFrru9A1sT/view
2019,940,160.0,200.0,200.0,180.0,200.0,13TKS6EyB9vKF3W74NRfsz1-ZlaoKU97h,https://drive.google.com/file/d/13TKS6EyB9vKF3W74NRfsz1-ZlaoKU97h/view
2019,940,160.0,200.0,180.0,200.0,200.0,1feDXmMHzozgu_OjIiVBU2xRfWo9be9aJ,https://drive.google.com/file/d/1feDXmMHzozgu_OjIiVBU2xRfWo9be9aJ/view
2019,980,200.0,200.0,200.0,200.0,180.0,1MBGH6jmImo5DsCa2tjV5YJc50bWoAGUU,https://drive.google.com/file/d/1MBGH6jmImo5DsCa2tjV5YJc50bWoAGUU/view
2019,980,180.0,200.0,200.0,200.0,200.0,116AOmvG3rzRUmikXYOyBJTjvWIpzDSRM,https://drive.google.com/file/d/116AOmvG3rzRUmikXYOyBJTjvWIpzDSRM/view
2019,920,160.0,200.0,200.0,200.0,160.0,1qO3Uw-rPMc3gHLc18zHGP-desu0AN29E,https://drive.google.com/file/d/1qO3Uw-rPMc3gHLc18zHGP-desu0AN29E/view
2019,800,140.0,200.0,160.0,140.0,160.0,1598BiaT1_3bz2vAQ1DtshQc9LEVWcQre,https://drive.google.com/file/d/1598BiaT1_3bz2vAQ1DtshQc9LEVWcQre/view
2019,940,160.0,200.0,160.0,200.0,200.0,1n_GEdglG_45sdQLcSmmEtDeAA5tIzplS,https://drive.google.com/file/d/1n_GEdglG_45sdQLcSmmEtDeAA5tIzplS/view
2019,960,180.0,200.0,200.0,200.0,180.0,13foxHdGoYySdyn6UPvVRCGhDJ6q1RUlU,https://drive.google.com/file/d/13foxHdGoYySdyn6UPvVRCGhDJ6q1RUlU/view
2019,920,180.0,200.0,180.0,180.0,180.0,1kIpF0GaEZKRhKQHf7si0k-Elt1ID5vPS,https://drive.google.com/file/d/1kIpF0GaEZKRhKQHf7si0k-Elt1ID5vPS/view
2019,960,160.0,200.0,200.0,200.0,200.0,1FjlpmOtfO9KeiwnlTCDqtgxnaOxDCKxL,https://drive.google.com/file/d/1FjlpmOtfO9KeiwnlTCDqtgxnaOxDCKxL/view
2019,940,160.0,180.0,200.0,200.0,200.0,1d7yiTVKeF_gpSA_9mJsAAWF2q6rv6qKo,https://drive.google.com/file/d/1d7yiTVKeF_gpSA_9mJsAAWF2q6rv6qKo/view
2019,920,160.0,200.0,180.0,180.0,200.0,1oyQsuQIBGGUN5EJBhEX7_bzSJI0cEHTy,https://drive.google.com/file/d/1oyQsuQIBGGUN5EJBhEX7_bzSJI0cEHTy/view
2019,920,180.0,200.0,180.0,200.0,160.0,1SkPYSw_Xoq0Wui-XLLk7nm_Mnc0IJ7ra,https://drive.google.com/file/d/1SkPYSw_Xoq0Wui-XLLk7nm_Mnc0IJ7ra/view
2019,920,180.0,180.0,180.0,180.0,200.0,1S6AINcBoapgVZPDIWTTwwfrsIzAUjgmR,https://drive.google.com/file/d/1S6AINcBoapgVZPDIWTTwwfrsIzAUjgmR/view
