Unidade,Curso,Modalidade,Classificação na carreira,Nota na 1° fase,"Nota na 2° fase, 1° dia","Nota na 2° fase, 2° dia",Nota da redação,Qual o seu ano de ingresso?,Nota final,Envie aqui o espelho da sua redação,Chamada,Classificação no curso de ingresso,Forma de ingresso,Ciências da Natureza,Matemática,Linguagens,Ciências Humanas,Redação,Nota na Competência 1,Nota na Competência 2,Nota na Competência 3,Nota na Competência 4,Nota na Competência 5,Nota final.1,Envie aqui o espelho da sua redação.1
FEA,Administração Noturno,Ampla Concorrência (AC),215,59,72.67,43.33,39.67,2019,605.19,,,,Fuvest,,,,,,,,,,,,
FEA,Administração Noturno,Ampla Concorrência (AC),172,56,76.5,43.33,41,2020,606.85,,,,Fuvest,,,,,,,,,,,,
FEA,Administração Noturno,Ampla Concorrência (AC),171,57,68,50.83,32,2020,607.22,,,,Fuvest,,,,,,,,,,,,
FEA,Administração Noturno,Ampla Concorrência (AC),170,62,62.5,50.83,34,2020,607.41,,,,Fuvest,,,,,,,,,,,,
FEA,Administração Noturno,Ampla Concorrência (AC),207,58,66.5,51.67,33,2019,608.7,,,,Fuvest,,,,,,,,,,,,
FEA,Administração Noturno,Ampla Concorrência (AC),163,71,60,44.17,38.5,2020,610.19,,,,Fuvest,,,,,,,,,,,,
FEA,Administração Noturno,Ampla Concorrência (AC),,67,55.5,53.33,36.5,2020,610.93,,,,Fuvest,,,,,,,,,,,,
FEA,Administração Noturno,Ampla Concorrência (AC),195,56,78,43.33,41.5,2019,611.85,,,,Fuvest,,,,,,,,,,,,
FEA,Administração Noturno,Ampla Concorrência (AC),147,65,61,50.83,43979,2020,613.52,,,,Fuvest,,,,,,,,,,,,
FEA,Administração Noturno,Ampla Concorrência (AC),,69,56,51.67,32,2020,614.44,,,,Fuvest,,,,,,,,,,,,
FEA,Administração Noturno,Ampla Concorrência (AC),179,65,59.5,53.33,33,2019,616.85,,,,Fuvest,,,,,,,,,,,,
FEA,Administração Noturno,Ampla Concorrência (AC),178,65,63,50,33,2019,617.41,,,,Fuvest,,,,,,,,,,,,
FEA,Administração Noturno,Ampla Concorrência (AC),127,64,76,38,41.5,2020,618.5,,,,Fuvest,,,,,,,,,,,,
FEA,Administração Noturno,Ampla Concorrência (AC),,67,66.5,45,33.5,2019,619.81,,,,Fuvest,,,,,,,,,,,,
FEA,Administração Noturno,Ampla Concorrência (AC),161,57,66.5,56.57,34.5,2019,621.67,,,,Fuvest,,,,,,,,,,,,
FEA,Administração Noturno,Ampla Concorrência (AC),119,60,69,50.83,41.5,2020,621.67,,,,Fuvest,,,,,,,,,,,,
FEA,Administração Noturno,Ampla Concorrência (AC),114,70,65,44.17,34.5,2020,623.15,,,,Fuvest,,,,,,,,,,,,
FEA,Administração Noturno,Ampla Concorrência (AC),,59,64.5,57.5,33,2019,625.19,,,,Fuvest,,,,,,,,,,,,
FEA,Administração Noturno,Ampla Concorrência (AC),146,64,65,52.5,36,2019,628.7,,,,Fuvest,,,,,,,,,,,,
FEA,Administração Noturno,Ampla Concorrência (AC),94,68,64.5,50,34.5,2020,633.52,,,,Fuvest,,,,,,,,,,,,
FEA,Administração Noturno,Ampla Concorrência (AC),21,69,70.5,58.33,38,2020,685.5,,,,Fuvest,,,,,,,,,,,,
FEA,Administração Noturno,Ampla Concorrência (AC),29,70,72,60,35,2019,699.26,,,,Fuvest,,,,,,,,,,,,
FEA,Administração Noturno,Ampla Concorrência (AC),16,72,79.5,56.67,41,2019,720.56,,,,Fuvest,,,,,,,,,,,,
FAU,Arquitetura e Urbanismo,"Pretos, Pardos e Indígenas (PPI)",2,57,52,46.67,28,2020,540,,,,Fuvest,,,,,,,,,,,,
FAU,Arquitetura e Urbanismo,Escola Pública (EP),27,53,61.5,44.17,30,2020,548.5296296,,,,Fuvest,,,,,,,,,,,,
FAU,Arquitetura e Urbanismo,Escola Pública (EP),22,57,58.5,48.33,36.5,2020,567.2111111,,,,Fuvest,,,,,,,,,,,,
FAU,Arquitetura e Urbanismo,Escola Pública (EP),18,53,65.5,48.33,35,2020,575.7296296,,,,Fuvest,,,,,,,,,,,,
FAU,Arquitetura e Urbanismo,Escola Pública (EP),13,61,63,45,36.5,2020,585.9259259,,,,Fuvest,,,,,,,,,,,,
FAU,Arquitetura e Urbanismo,Escola Pública (EP),9,57,64,53.33,39,2020,602.2111111,,,,Fuvest,,,,,,,,,,,,
FAU,Arquitetura e Urbanismo,Escola Pública (EP),16,54,64,64,36.6,2020,626.6666667,,,,Fuvest,,,,,,,,,,,,
FAU,Arquitetura e Urbanismo,Ampla Concorrência (AC),68,68,73,44,39,2019,641.8518519,,,,Fuvest,,,,,,,,,,,,
FAU,Arquitetura e Urbanismo,Ampla Concorrência (AC),63,52,86.5,51.67,45,2020,653.1592593,,,,Fuvest,,,,,,,,,,,,
FAU,Arquitetura e Urbanismo,Ampla Concorrência (AC),65,64,74.5,54.17,40,2020,665.937037,,,,Fuvest,,,,,,,,,,,,
FAU,Arquitetura e Urbanismo,Ampla Concorrência (AC),50,64,77,51.67,40,2020,665.937037,,,,Fuvest,,,,,,,,,,,,
FAU,Arquitetura e Urbanismo,Ampla Concorrência (AC),64,72,64,56.67,30,2020,668.9,,,,Fuvest,,,,,,,,,,,,
FAU,Arquitetura e Urbanismo,Ampla Concorrência (AC),62,67,64,62.5,36,2020,669.8148148,,,,Fuvest,,,,,,,,,,,,
FAU,Arquitetura e Urbanismo,Ampla Concorrência (AC),49,61,79,54.17,45,2020,669.8259259,,,,Fuvest,,,,,,,,,,,,
FAU,Arquitetura e Urbanismo,Ampla Concorrência (AC),58,63,68,64.17,38,2020,673.9,,,,Fuvest,,,,,,,,,,,,
FAU,Arquitetura e Urbanismo,Ampla Concorrência (AC),47,64,79.5,53.33,50,2020,679.8037037,,,,Fuvest,,,,,,,,,,,,
FAU,Arquitetura e Urbanismo,Ampla Concorrência (AC),29,69,75.5,52.5,38,2020,682.2222222,,,,Fuvest,,,,,,,,,,,,
FAU,Arquitetura e Urbanismo,Ampla Concorrência (AC),41,66,63.5,68.33,34.5,2020,683.8777778,,,,Fuvest,,,,,,,,,,,,
FAU,Arquitetura e Urbanismo,Ampla Concorrência (AC),40,58,77.5,63.33,41,2020,684.2481481,,,,Fuvest,,,,,,,,,,,,
FAU,Arquitetura e Urbanismo,Ampla Concorrência (AC),26,69,80,49,46.5,2019,685.5555556,,,,Fuvest,,,,,,,,,,,,
FAU,Arquitetura e Urbanismo,Ampla Concorrência (AC),35,68,74.5,56.67,43.5,2020,689.0851852,,,,Fuvest,,,,,,,,,,,,
FAU,Arquitetura e Urbanismo,Ampla Concorrência (AC),27,76,69.25,54.17,33,2020,692.8814815,,,,Fuvest,,,,,,,,,,,,
FAU,Arquitetura e Urbanismo,Ampla Concorrência (AC),31,67,74.5,59.17,41.5,2020,693.7148148,,,,Fuvest,,,,,,,,,,,,
FAU,Arquitetura e Urbanismo,Ampla Concorrência (AC),20,61,81.5,59.17,39.5,2019,694.8259259,,,,Fuvest,,,,,,,,,,,,
FAU,Arquitetura e Urbanismo,Ampla Concorrência (AC),17,72,69,69.33,34.5,2020,707.78,,,,Fuvest,,,,,,,,,,,,
FAU,Arquitetura e Urbanismo,Ampla Concorrência (AC),8,75,76.2,63.3,40.7,2020,742.78,,,,Fuvest,,,,,,,,,,,,
FAU,Arquitetura e Urbanismo,Ampla Concorrência (AC),,90,62,63.33,36.5,2020,751.1,,,,Fuvest,,,,,,,,,,,,
FAU,Arquitetura e Urbanismo,Ampla Concorrência (AC),3,71,80,69.2,43.1,2020,760.19,,,,Fuvest,,,,,,,,,,,,
FAU,Arquitetura e Urbanismo,Ampla Concorrência (AC),1,79,78.5,70.8,46.5,2020,790.37,,,,Fuvest,,,,,,,,,,,,
FAU,Arquitetura e Urbanismo,"Pretos, Pardos e Indígenas (PPI)",6,48,40.1,40.1,35,2020,495.44,,,,Fuvest,,,,,,,,,,,,
FAU,Arquitetura e Urbanismo,"Pretos, Pardos e Indígenas (PPI)",4,50,58,58,31.5,2020,500.74,,,,Fuvest,,,,,,,,,,,,
FAU,Arquitetura e Urbanismo,Escola Pública (EP),24,53,60.2,50,34.7,2020,563.52,,,,Fuvest,,,,,,,,,,,,
FAU,Arquitetura e Urbanismo,Escola Pública (EP),17,53,65,49.2,35,2020,576.85,,,,Fuvest,,,,,,,,,,,,
FAU,Arquitetura e Urbanismo,Escola Pública (EP),16,54,64,64,36.5,2020,577.22,,,,Fuvest,,,,,,,,,,,,
FAU,Arquitetura e Urbanismo,"Pretos, Pardos e Indígenas (PPI)",1,65,59,43.3,30,2020,581.85,,,,Fuvest,,,,,,,,,,,,
FAU,Arquitetura e Urbanismo,Escola Pública (EP),14,56,68.5,45,41.5,2020,585.74,,,,Fuvest,,,,,,,,,,,,
FAU,Arquitetura e Urbanismo,Escola Pública (EP),12,58,67,45.8,34.5,2020,590.93,,,,Fuvest,,,,,,,,,,,,
FAU,Arquitetura e Urbanismo,Escola Pública (EP),11,65,58.5,49.2,30,2020,599.63,,,,Fuvest,,,,,,,,,,,,
FAU,Arquitetura e Urbanismo,Escola Pública (EP),10,55,68.5,50.8,43,2020,601.48,,,,Fuvest,,,,,,,,,,,,
FAU,Arquitetura e Urbanismo,Ampla Concorrência (AC),71,63,65.5,62.5,35.5,2020,660,,,,Fuvest,,,,,,,,,,,,
FAU,Arquitetura e Urbanismo,Ampla Concorrência (AC),72,66,65.5,59.2,41.5,2020,660,,,,Fuvest,,,,,,,,,,,,
FAU,Arquitetura e Urbanismo,Ampla Concorrência (AC),70,58,69.5,64.2,36.5,2020,660.37,,,,Fuvest,,,,,,,,,,,,
FAU,Arquitetura e Urbanismo,Ampla Concorrência (AC),69,67,61.5,62.5,28,2020,661.48,,,,Fuvest,,,,,,,,,,,,
FAU,Arquitetura e Urbanismo,Ampla Concorrência (AC),66,62,70,60.8,43,2020,665.74,,,,Fuvest,,,,,,,,,,,,
FAU,Arquitetura e Urbanismo,Escola Pública (EP),3,60,71.5,61.7,38,2020,666.11,,,,Fuvest,,,,,,,,,,,,
FAU,Arquitetura e Urbanismo,Escola Pública (EP),2,53,77.5,64.2,41.5,2020,668.52,,,,Fuvest,,,,,,,,,,,,
FAU,Arquitetura e Urbanismo,Ampla Concorrência (AC),56,69,69,56.7,36.5,2020,674.44,,,,Fuvest,,,,,,,,,,,,
FAU,Arquitetura e Urbanismo,Ampla Concorrência (AC),57,69,64,61.7,33,2020,674.44,,,,Fuvest,,,,,,,,,,,,
FAU,Arquitetura e Urbanismo,Ampla Concorrência (AC),54,71,58,65.8,35,2020,675.74,,,,Fuvest,,,,,,,,,,,,
FAU,Arquitetura e Urbanismo,Ampla Concorrência (AC),52,61,69.5,65.8,38.5,2020,677.4,,,,Fuvest,,,,,,,,,,,,
FAU,Arquitetura e Urbanismo,Ampla Concorrência (AC),50,62,69,65.8,42,2020,679.07,,,,Fuvest,,,,,,,,,,,,
FAU,Arquitetura e Urbanismo,Ampla Concorrência (AC),38,67,78.5,52.5,48,2020,684.81,,,,Fuvest,,,,,,,,,,,,
FAU,Arquitetura e Urbanismo,Ampla Concorrência (AC),37,62,65,71.7,33,2020,685.19,,,,Fuvest,,,,,,,,,,,,
FAU,Arquitetura e Urbanismo,Ampla Concorrência (AC),33,69,63.5,67.5,31.5,2020,692.22,,,,Fuvest,,,,,,,,,,,,
FAU,Arquitetura e Urbanismo,Ampla Concorrência (AC),30,63,78.5,60,45,2020,695,,,,Fuvest,,,,,,,,,,,,
FAU,Arquitetura e Urbanismo,Ampla Concorrência (AC),28,74,67,60,38,2020,697.41,,,,Fuvest,,,,,,,,,,,,
FAU,Arquitetura e Urbanismo,Ampla Concorrência (AC),27,65,74.5,63.3,46,2020,700.19,,,,Fuvest,,,,,,,,,,,,
FAU,Arquitetura e Urbanismo,Ampla Concorrência (AC),25,62,80.5,60.8,40,2020,700.74,,,,Fuvest,,,,,,,,,,,,
FAU,Arquitetura e Urbanismo,Ampla Concorrência (AC),23,70,67,65.8,38,2020,702.04,,,,Fuvest,,,,,,,,,,,,
FAU,Arquitetura e Urbanismo,Ampla Concorrência (AC),20,77,63.5,62.5,37,2020,705.19,,,,Fuvest,,,,,,,,,,,,
FAU,Arquitetura e Urbanismo,Ampla Concorrência (AC),12,76,65,68.33,36.5,2020,725.93,,,,Fuvest,,,,,,,,,,,,
FAU,Arquitetura e Urbanismo,Escola Pública (EP),1,74,71.5,64.2,36.5,2020,726.3,,,,Fuvest,,,,,,,,,,,,
FAU,Arquitetura e Urbanismo,Ampla Concorrência (AC),11,70,79,61.7,41.5,2020,728.15,,,,Fuvest,,,,,,,,,,,,
FAU,Arquitetura e Urbanismo,Ampla Concorrência (AC),7,75,66.5,74.17,36,2020,746.67,,,,Fuvest,,,,,,,,,,,,
FAU,Arquitetura e Urbanismo,Ampla Concorrência (AC),6,71,84,61.7,46.5,2020,748.52,,,,Fuvest,,,,,,,,,,,,
FAU,Arquitetura e Urbanismo,Ampla Concorrência (AC),5,73,83,72.5,47,2020,755.37,,,,Fuvest,,,,,,,,,,,,
ECA,Artes Cênicas,Ampla Concorrência (AC),15,51,75,65,40,2020,655.5555556,,,,Fuvest,,,,,,,,,,,,
ECA,Artes Visuais,"Pretos, Pardos e Indígenas (PPI)",4,45,43,32.5,28,2020,418.3333333,,,,Fuvest,,,,,,,,,,,,
ECA,Artes Visuais,Ampla Concorrência (AC),7,51,57,39,28.5,2019,508.8888889,,,,Fuvest,,,,,,,,,,,,
ECA,Audiovisual,Escola Pública (EP),3,53,86.5,48.33,48,2019,645.7296296,,,,Fuvest,,,,,,,,,,,,
ECA,Audiovisual,Ampla Concorrência (AC),27,57,62.75,68.75,31.5,2017,649.4444444,,,,Fuvest,,,,,,,,,,,,
ECA,Audiovisual,Ampla Concorrência (AC),8,69,71.5,63.33,40,2020,704.9888889,,,,Fuvest,,,,,,,,,,,,
EACH,Biotecnologia,Escola Pública (EP),32,51,51.88,31.25,30,2020,465.9888889,,,,Fuvest,,,,,,,,,,,,
EACH,Biotecnologia,Escola Pública (EP),7,52,68,34,43,2020,532.5925926,,,,Fuvest,,,,,,,,,,,,
EACH,Biotecnologia,Escola Pública (EP),5,60,55,41.67,31.5,2020,544.4555556,,,,Fuvest,,,,,,,,,,,,
EACH,Biotecnologia,Ampla Concorrência (AC),27,57,59.5,49.17,32,2020,573.3444444,,,,Fuvest,,,,,,,,,,,,
EACH,Biotecnologia,Ampla Concorrência (AC),20,64,68,41.67,36,2020,602.6037037,,,,Fuvest,,,,,,,,,,,,
EACH,Biotecnologia,Ampla Concorrência (AC),17,65,68,44.17,36,2020,614.6407407,,,,Fuvest,,,,,,,,,,,,
EACH,Biotecnologia,Ampla Concorrência (AC),11,60,62.5,68.33,36,2020,658.3222222,,,,Fuvest,,,,,,,,,,,,
EACH,Biotecnologia,Ampla Concorrência (AC),8,72,61.5,64.17,36.5,2020,685.5666667,,,,Fuvest,,,,,,,,,,,,
EACH,Biotecnologia,Ampla Concorrência (AC),1,78,56.5,77.5,33,2020,735.5555556,,,,Fuvest,,,,,,,,,,,,
IME,Ciência da Computação,Escola Pública (EP),39,66,46.5,45.83,30,2020,552.2111111,,,,Fuvest,,,,,,,,,,,,
IME,Ciência da Computação,Escola Pública (EP),15,69,60,45,34,2020,605.5555556,,,,Fuvest,,,,,,,,,,,,
IME,Ciência da Computação,Escola Pública (EP),16,58,80.5,40,50,2019,616.4814815,,,,Fuvest,,,,,,,,,,,,
IME,Ciência da Computação,Ampla Concorrência (AC),51,67,65.25,45.83,33,2018,618.4148148,,,,Fuvest,,,,,,,,,,,,
IME,Ciência da Computação,Escola Pública (EP),14,62,65.17,51.67,36.67,2019,619.0962963,,,,Fuvest,,,,,,,,,,,,
IME,Ciência da Computação,Escola Pública (EP),11,61,70.5,50.83,41,2019,630.3592593,,,,Fuvest,,,,,,,,,,,,
IME,Ciência da Computação,Escola Pública (EP),11,59,66.5,68.33,41,2020,667.9518519,,,,Fuvest,,,,,,,,,,,,
IME,Ciência da Computação,Ampla Concorrência (AC),33,78,69,45.83,43.5,2020,671.6555556,,,,Fuvest,,,,,,,,,,,,
IME,Ciência da Computação,Escola Pública (EP),10,68,74,52.5,44.5,2020,673.5185185,,,,Fuvest,,,,,,,,,,,,
IME,Ciência da Computação,Ampla Concorrência (AC),24,66,76.25,54.17,40,2018,679.1777778,,,,Fuvest,,,,,,,,,,,,
IME,Ciência da Computação,Ampla Concorrência (AC),30,74,57.5,64.17,36.5,2020,679.6407407,,,,Fuvest,,,,,,,,,,,,
IME,Ciência da Computação,Escola Pública (EP),8,72,51,73.33,30,2020,681.1,,,,Fuvest,,,,,,,,,,,,
IME,Ciência da Computação,Ampla Concorrência (AC),23,78,52,68.33,31.5,2020,689.9888889,,,,Fuvest,,,,,,,,,,,,
IME,Ciência da Computação,Escola Pública (EP),4,71,51,80,31.5,2020,699.6296296,,,,Fuvest,,,,,,,,,,,,
IME,Ciência da Computação,Ampla Concorrência (AC),14,73,60.5,75,29,2020,722.037037,,,,Fuvest,,,,,,,,,,,,
IME,Ciência da Computação,Escola Pública (EP),1,77,59.83,76.67,29.33,2020,740.1851852,,,,Fuvest,,,,,,,,,,,,
IME,Ciência da Computação,Ampla Concorrência (AC),11,75,68.5,73.33,31.5,2019,750.5444444,,,,Fuvest,,,,,,,,,,,,
IME,Ciência da Computação,Ampla Concorrência (AC),4,80,71,75.83,47,2020,785.7296296,,,,Fuvest,,,,,,,,,,,,
IME,Ciência da Computação,Ampla Concorrência (AC),3,76,68,85,33,2020,791.4814815,,,,Fuvest,,,,,,,,,,,,
